code,zh_tw
automated.invoices.receipts,自動化開具發票與收據
committee.management,委員會管理
run.your.operations.from.span.classlineins.anywhere.insspan,<span class="line"><ins> 隨時隨地</ins></span>管理您的運營工作
streamline.processes.and.manage.your.community.from.palm.of.your.hand.with.a.mobile.app.that.consolidates.all.your.operations.and.engagement,Glue Up 雲平臺移動端 App，讓您可以隨時隨地高效管理您的社群運營及互動。
glue.up.manager.app,Glue Up 管理者 App
the.everyday.app.for.successful.managers,優秀經理人必備的每日 App
manage.registrations.member.sign.ups.and.renewals.collect.payments.and.facilitate.smooth.check.ins.to.carry.out.successful.events.with.an.app.that.comes.with.each.glue.up.solution,Glue Up 一體化雲平臺，各模組已實現電腦端與移動端數據互聯，自動適配，助力您實現活動註冊管理、會員註冊與續費管理、支付管理、流暢活動簽到等，全面協助您每一場活動的完美收官。
do.it.all.from.one.app,一體化雲平臺，滿足您的全部需求
ultimate.mobile.app.that.has.everything.you.need.to.manage.your.community.anywhere.you.go,不論您身在何處，您都可以使用 Glue Up 一體化雲平臺移動端 App，隨時隨地、高效管理您的社群組織。
operations.simplified,簡化運營管理流程
premium.user.experience.battle.tested.for.your.absolute.comfort.our.ceo.uses.manager.app.daily.too,Glue Up 雲平臺優質且流暢的用戶體驗，受到了全球眾多客戶的高度認可，不僅為您提供便捷的操作，更幫助您為您的目標受眾帶去不一樣的體驗。
get.immediate.insights.into.your.communitys.activities.from.events.emails.finance.and.more.in.real.time,即時掌握社群動態，獲取社群最新的活動、行銷郵件、財務相關資訊與數據分析。
events,活動管理
maximize.attendee.experience,參會者體驗最優化
manage.your.events.and.engage.with.your.attendees.even.at.multiple.events.at.the.same.time,您甚至可以在同一時間，高效運營與管理多個活動，與參會者互動社交。
create.edit.events,創建 & 編輯活動頁面
ticket.sales,售票
walk.in.registrations,現場註冊
badge.design.printing,胸牌設計與列印
seamless.qr.code.check.ins,二維碼流暢簽到
memberships,會員管理
go.the.brextra.mile.for.your.members,為您的會員<br>創造更多價值
impact.your.members.while.you.are.waiting.in.a.cab.stuck.on.a.plane.at.hospital.or.anywhere.else.you.can.access.the.internet,無論您身在何處，只要能連接網路，您就能隨時隨地管理您的社群與會員。
review.applications,申請資訊審核
renewal.management,會員續費管理
membership.directory,會員名錄
member.profile,會員資料
newsletters.updates,最新資訊
team.management,團隊管理
work.across.teams.on.multiple.projects.at.once.and.centralize.all.your.tasks.in.one.dashboard.for.easy.access,一體化控制面板，多種模組與功能，助力您輕鬆進行跨團隊協作，便捷、集中地管理您的工作任務。
understand.engagement.take.action,全面洞悉互動數據，為行動部署提供依據
stay.up.to.date.on.everything.you.have.going.on.with.automated.tracking.analytics.and.reports.in.real.time,自動化數據追蹤、分析與回饋報告，即時掌握各模組最新動態進展。
live.check.in.statistics,活動簽到數據即時動態展示
stay.in.the.span.classlineinsknowinsspanbralways,消除數據孤島
centralize.all.your.data.in.one.place.and.get.deep.insights.into.your.community.so.you.can.understand.engagement.and.improve.your.campaigns,統一集中管理您的所有數據，其中包括客戶（會員）的基礎資訊，以及其與企業（社群組織）的互動等資訊，通過數據的精細化運營，持續優化您的行銷活動。
discover.the.journey.of.every.person.in.your.community,不斷探索客戶（會員）旅程與畫像
crm.built.for.engagement.that.helps.you.manage.all.your.contacts.and.generate.more.revenue,智能CRM，幫助您高效管理所有聯繫人數據，豐富用戶畫像。
get.a.brand.new.span.classlineinslookinsspan,讓您的官網<span class="line"><ins>煥然一新</ins></span>
upgrade.your.online.presence.with.a.professional.mobile.responsive.website.that.seamlessly.integrates.with.your.glue.up.platform,Glue Up 會為您搭建一個專業且電腦端、移動端均自動適配的官網頁面，且頁面數據與您的 Glue Up 雲平臺數據無縫互聯。
first.impressions.matter,第一印象很重要
stay.connected.with.your.communities.and.use.your.website.to.build.greater.engagement,用您的品牌化網站，與社群實現高效互動。
feature.everything.automatically,全平臺功能均實現智能化與自動化
a.website.that.updates.itself.as.you.create.events.or.add.new.memberships.on.glue.up,不論您是創建、修改活動頁面，還是添加新會員資訊，您的 Glue Up 雲平臺數據也會保持即時更新。
go.live.in.a.week,一周內就可熟練使用平臺功能，上線活動頁面
have.your.new.website.up.and.running.in.less.than.a.week.and.generate.additional.revenue,一周內為您搭建好新的官網，並開始幫助您實現活動頁面上線，獲取額外收益。
make.it.simple.for.everyone,操作簡便，易於使用
premium.user.experience.battle.tested.for.your.and.all.your.audiencess.absolute.comfort,Glue Up 雲平臺優質且流暢的用戶體驗，受到了全球眾多客戶的高度認可，不僅為您提供便捷的操作，更幫助您為您的目標受眾帶去不一樣的體驗。
automation,自動化
website.that.just.works,一個所有模組數據均實現互聯的品牌化網站
feature.events.member.applications.and.other.things.you.create.with.glue.up.platform.to.your.website.visitors.in.real.time.without.updating.anything,活動頁面、會員申請，及您通過 Glue Up 雲平臺創建的展示給頁面訪問者的內容，均可適時修改，即時更新展示。
easy.setup,快速設置
seo.optimized,搜索引擎優化
job.boards,可增加招聘欄
mobile.friendly,移動端自動適配
community.hub,社群交流中心
a.place.to.engage.and.exchange.knowledge,深度互動，隨心交流
give.your.community.a.digital.place.where.they.can.share.their.ideas.discuss.various.topic.and.stay.social.even.when.meeting.in.person.is.not.an.option,為您的社群提供一個即使無法線下碰面，也能隨時隨地交流想法，進行溝通討論，保持互動社交的雲平臺。
live.feed,動態資訊流
public.private.groups,公開 & 私人小組
announcements,公告
engagement,線上會員互動
do.more.than.whats.expected,我們力爭做到超出您的期望
digitize.all.processes.and.deliver.premium.experience.your.community.deserves,所有管理流程均實現線上化，為您的社群帶去不一樣的優質體驗。
member.only.content,會員專享內容
people.profiles,個人資料
latest.news,最新資訊
admin,網站管理
stay.in.charge,您的品牌網站，一切由您說了算
you.are.the.boss.of.your.website.easily.update.your.website.or.add.new.pages.ads.or.job.listings.anytime,您可全權決定網站的設計與佈局，輕鬆增加新頁面、廣告欄、招聘欄等，隨時更新和修改網站各模組資訊。
cms.training,CMS 培訓
ssl.certificate,SSL 認證
monetization.tools,提升收益
automate.all.yourbrfinance.processes.and.span.classlineins.grow.insspan.revenue,實現所有財務管理流程自動化，<span class="line"><ins>全面提升收入 </ins></span>
manage.invoices.deliver.receipts.grow.revenue.and.accept.payments.in.multiple.currencies.with.credit.cards.bank.transfers.or.other.online.payments,Glue Up 一體化雲平臺助力您實現多幣種支付，多管道支付（如信用卡、銀行轉賬、線上支付等），自動化管理發票、帳單與支付，提升管理效率與收益。
a.complete.finance.toolkit,聚合財務支付工具
streamline.the.entire.transaction.experience.for.your.organization.and.for.every.member.of.your.community,為您社群的每位會員簡化和優化整個支付體驗，實現安全便捷的雲支付。
collect.money,收集票款
drive.revenue.in.multiple.currencies,完美應對多幣種收款需求
meet.the.needs.of.your.community.by.accepting.payments.in.100.currencies.including,可滿足您社群的個性化需求，平臺支持使用的幣種已經超過100種，包括：
us.dollar.chinese.rmb.hong.kong.dollar.euro.taiwan.dollar.singapore.dollar.malaysian.ringgit,美元、人民幣、港幣、歐元、台幣、新加坡元、馬來西亞林吉特、
british.pound.south.korean.won.japanese.yen.indonesian.rupiah.indian.rupee.russian.ruble.and.other.currencies,英鎊、韓元、日元、印尼盾、印度盧比、俄羅斯盧布等
multi.currency.support,多幣種支持
local.payment.methods,支持您的本地支付
in.person.payments,現場付款
dispute.handling,爭議處理
security,系統安全
enable.secure.smooth.payments,安全且便捷的支付管理
facilitate.easy.secure.payments.with.online.digital.payment.gateways.credit.cards.and.bank.transfers.over.encrypted.ssl.connections,通過加密的 SSL 連接，線上數字支付網關、信用卡和銀行可以更方便、安全地完成支付和轉賬。
credit.card.numbers.and.other.electronic.financial.data.are.not.stored.in.any.form,您的信用卡號碼及其他電子財務數據將不會以任何形式儲存。
ssl.protected,SSL 保護
gdpr.compliant,GDPR 合規
pci.dss.certified,PCI DSS認證
financial.journey,財務管理流程
manage.your.finances.effortlessly,輕鬆進行財務管理，掌握即時數據更新
automate.your.complete.financial.journey.from.online.payments.through.ticketing.and.invoice.generation.all.the.way.until.your.taxes.are.due,從線上票款支付，到自動化生成發送帳單與發票，直到這筆交易結束，Glue Up 一體化雲平臺助力您的財務管理實現線上全流程自動化。
automatic.invoicing,自動化開具發票
custom.reminders.notifications,設置自定義提醒和推送通知
customizable.tax.setup,自定義稅費設置
coupons.discounts,優惠券 & 折扣
analytics.reports,數據分析與回饋報告
centralize.and.track.all.payments,集中管理與追蹤所有支付數據
keep.your.payment.processing.centralized.in.one.place.stay.up.to.date.on.all.your.online.and.offline.revenue.streams.with.automated.tracking.analytics.and.reports,集中管理您的支付業務，自動化追蹤所有收入數據，獲取數據分析與回饋報告，即時監管線上、線下活動產生的各項收益記錄與數據資訊。
real.time.analytics,即時數據分析
easy.export,快速導出數據
payment.gateways,支付網關
let.your.community.pay.the.way.they.like,讓您的社群成員選擇自己喜愛的支付方式
enable.your.community.to.pay.you.securely.and.conveniently.using.their.preferred.credit.debit.or.prepaid.cards,您的社群會員可以選擇自己喜愛的支付方式，如信用卡、借記卡、預付卡等，便捷完成安全支付。
via.bank.transfer.digital.wallets.mobile.money.or.cash.thanks.to.our.wide.payment.gateway.oferring,有了 Glue Up 的聚合支付模組，您可通過銀行轉賬、電子錢包、移動支付等方式完成付款。
alipay,支付寶
mainland.china.hong.kong,中國大陸 & 香港
braintree,Braintree
globally,全球
flutterwave,Flutterwave
mpesa.across.the.african.continent,mPesa（非洲全境）
globalpayment,全球支付
inicis,
korea,韓國
instamojo,InstaMojo
india,印度
paymaya,PayMaya
the.philippines,菲律賓
paypal,Paypal
payfort,PayFort
united.arab.emirates.egypt.saudi.arabia.jordan.lebanon.and.qatar,阿聯酋、埃及、沙烏地阿拉伯、約旦、黎巴嫩、卡塔爾
paygage,Paygage
usa.and.canada,美國、加拿大
stripe,Stripe
wechat.pay,微信支付
yandex,Yandex
yeepay,YeePay
advanced.integrations,高級功能集成
maximize.your.financial.workflows,實現財務管理效率最大化
save.time.and.eliminate.manual.tasks.by.connecting.glue.up.to.your.favorite.accounting.software,將 Glue Up 一體化雲平臺與您喜愛的財務軟體實現功能集成，可提升工作效率，消除繁瑣的人工工作。
quickbooks,QuickBooks
get.a.full.accounting.experience.by.combining.the.best.of.glue.ups.all.in.one.engagement.management.software.with.easy.plugplay.quickbooks.integration.that.can.be.set.up.in.a.few.clicks,簡單設置即可將 Glue Up 一體化雲平臺與即插即用的財務 SaaS 軟體 QuickBooks 實現整合打通，為您提供更全面的財務管理體驗。
xero,Xero
synchronize.and.update.your.invoices.from.both.apps.collect.tickets.and.memberships.as.line.items.and.manage.both.finance.systems.effortlessly,您可以在 Glue Up 雲平臺的電腦端和移動端 App 中管理您的發票、各類票務支付、會員費用等，且各模組數據在兩種用戶端均可實現自動化同步更新。
helping.you.build.brspan.classlineins.stronger.insspan.communities,助力您構建<br><span class="line"><ins> 更加強大</ins></span>的社群
business.never.sleeps.neither.will.your.community,業務發展不止步，社群發展不停歇
give.your.community.a.place.where.they.can.connect.with.you.and.your.mission.365.days.a.year.even.when.meeting.face.to.face.isnt.possible,為您的活動社群提供一個即使無法線下碰面，也能 365 天與您的組織進行互動的線上雲平臺。
comments.discussions,評論 & 討論
social.sharing,社交分享
spark.discussions.in.open.or.private.groups,在公開或私人小組中發起討論
make.it.easy.for.everyone.to.find.like.minded.people.and.topics.that.matter.to.them.so.they.can.network.with.each.other.and.exchange.their.opinions,幫助您的參會者找到更多志同道合的朋友，並實現高效線上社交，討論有趣話題，交流想法。
custom.reactions,自定義回復設置
digital.business.cards,電子名片
help.business.happen,拓展商機
enable.your.community.to.create.and.share.their.own.digital.business.cards.manage.their.contacts.and.effectively.network.with.everyone.no.matter.where.they.are,讓您的參會者可以創建與分享自己的電子名片，管理聯繫人列表，形成自己的聯繫人資料庫。不論身在何處都能與其他參會者實現高效線上社交。
personal.qr.codes,專屬二維碼
available.on.all.devices,所有設備均適配
business.card.scanner,電子名片二維碼掃描
stored.in.individual.crm,均儲存在個人 CRM 資料庫中
conversations,溝通對話
let.people.talk,讓參會者多維度互動交流
make.it.your.business.to.enable.everyone.in.your.community.develop.lasting.relationships.with.you.and.each.other.via.1.on.1.chats.with.option.to.share.business.card,1 對 1 線上聊天功能，及電子名片互換，賦能您的會員更多價值，提升互動，變革社群關係管理。
1.on.1.direct.chat,1對1私信聊天功能
gifs.and.emojis,動圖和表情包
media.location.sharing,社交媒體平臺分享 & 位置分享
custom.privacy.settings,自定義隱私設置
set.the.rules.of.engagement,設置您的互動規則
you.are.the.boss.of.the.engagement.create.and.manage.different.groups.allow.and.restrict.access.or.offer.greater.functionalities.to.paying.members.of.your.community,社群互動規則，由您來決定。您可創建和管理不同的小組，決定不同模組的訪問許可權，對社群付費會員開放更多功能許可權。
content.moderation,內容審核
advanced.filters,高級篩選
post.announcement,發佈公告
manage.your.events.span.classlineinsall.in.oneinsspan,一體化雲平臺為您提供活動行銷所需的所有工具
take.care.of.the.whole.event.lifecycle.of.your.online.and.offline.events.from.the.first.idea.to.follow.up.with.one.platform,從最初的會前策劃到會後跟進，Glue Up 一體化雲平臺為您的線上、線下活動提供全生命週期管理。
transform.your.events,變革您的活動管理
own.your.events.at.every.stage,全面掌握您活動每個階段的數據資訊
from.small.workshops.and.webinars.to.multi.day.summits.with.thousands.of.attendees.glue.ups.automated.events.platform.makes.event.planning.faster.and.more.efficient.for.the.whole.team,從小型研討會，到千人參與且持續數天的國際大型峰會，Glue Up 的一體化雲平臺助力會議主辦方實現線上化高效雲端管理。
before,活動前
create,創建
ready.set.go.brthat.easy,從活動創建到成功上線，給您從未有過的流暢操作體驗
set.up.one.or.hundred.high.converting.event.pages.without.compromising.on.your.branding,Glue Up 可幫助您在保持品牌一致性的同時，創建出專業且精美活動頁面，提升您的互動與轉化。
create.custom.registration.forms.activate.supported.payment.options.add.speakers.and.agenda.all.in.just.a.few.clicks,創建自定義註冊表單，啟動支付選項，添加演講嘉賓資訊與議程。所有操作均可快速便捷完成。
event.website.builder,活動網頁生成器
custom.registration.forms,自定義註冊表單
event.blueprint.duplication,複製活動範本與內容
online.ticketing.payments,線上售票 & 支付
event.templates,活動頁面範本
promote,推廣
tell.the.world.brabout.your.event,向世界展示您的活動吧
streamline.your.event.marketing.and.send.newsletters.branded.event.invitations.and.other.emails.to.targeted.audiences,Glue Up 一體化雲平臺簡化您的郵件行銷流程，助力您創建出專業且精美的資訊郵件、品牌活動邀請函和其他郵件，並一鍵發送至您的目標受眾。
share.your.event.page.on.your.website.or.social.media.channels.for.even.more.exposure,可在您的官網或社交平臺中加入活動頁面，以增加活動曝光率。
branded.event.invitations,品牌化的活動邀請函
automated.notifications,自動化推送提醒
social.media.integrations,社交媒體整合
drag.drop.email.editor,具有簡便拖拉拽功能的行銷郵件編輯器
check.in,簽到
make.first.impressions.memorable,為參會者提供專業、流暢的活動體驗
remind.attendees.about.the.event.with.push.notifications.and.automatic.reminders,自動化推送消息可提醒參會者有關活動的進展與資訊更新。
then.welcome.them.online.at.your.virtual.or.physical.event.with.smooth.check.ins.and.provide.badges.or.digital.business.cards,不論是線上會議，還是線下活動，流暢的簽到，活動胸牌的自定義設計與列印，以及電子名片互換等，都能讓您的參會者擁有更優質、舒適的活動體驗。
qr.code.check.ins,二維碼簽到
custom.notifications,自定義推送提醒
agenda.maps.bios,活動日程、地圖、嘉賓資訊
event.documents,活動檔
manage,管理者
know.how.you.do.brin.real.time,即時瞭解您的活動成效數據
track.attendance.sponsorship.sales.profit.loss.from.each.event.and.performance.of.your.event.campaigns.from.anywhere,追蹤參會者簽到數據、贊助商銷售數據、損益報告等數據，Glue Up 能助力您隨時隨地監控各項活動的即時成效數據。
profit.loss.reports,損益報告
live.check.in.metrics,活動簽到數據即時更新
walk.in.attendees,現場報名的參會者
exhibitor.management,參展商管理
engage,互動
exceed.attendes.expectations,超出參會者預期
enable.your.event.community.to.create.and.share.their.own.digital.business.cards,讓您的活動社群成員可以創建與分享自己的電子名片
manage.their.contacts.and.effectively.network.with.everyone.before.during.and.after.your.physical.and.online.events,不管是線上活動還是下線活動，亦不管是活動開始前，進行時，或結束後，您都可以高效管理聯繫人資料庫，並推動活動互動度。
attendee.chat,參會者互動聊天
individual.crm,個人 CRM 資料庫
business.card.exchange,電子名片互換
event.rooms,活動聊天室
glue.up.mobile.app,Glue Up 移動端 App
follow.up,後續跟蹤
ask.for.feedback,收集參會者回饋
easily.create.surveys.quizzes.and.polls.to.measure.and.understand.feedback.so.you.can.improve.your.events,輕鬆創建調查問卷、測試、投票等，收集回饋並分析數據，為您的下一場活動獲取優化建議。
unlimited.questions,問題設置無限制
expert.written.templates,專業的文字範本
survey.logic,調查問卷使用邏輯
tracking.analytics,數據追蹤 & 分析
evaluate,評估
understand.the.impact.brof.your.events,全方位洞悉您的<br>活動影響力
analyze.your.performance.with.powerful.dashboards.and.reports.to.get.insights.into.your.attendees.activity.from.events.email.marketing.sales.or.finance,功能強大的控制面板和回饋報告，將從活動、行銷郵件、銷售進度，以及財務管理等方面，為您提供全方位的數據分析，幫助您更加深入地瞭解每一位參會者。
roi.insights,ROI 分析洞察
email.analytics,行銷郵件數據分析
automatic.invoices.receipts,自動化開具發票與收據
scale.up,規模發展
get.better.brand.go.again,為下次活動，<br>優化準備
convert.your.most.successful.events.into.templates,可將您成效卓越的活動頁面製成活動範本，方便後續使用。
make.quick.edits.and.host.new.events.with.similar.registration.processes.pricing.sponsors.and.invite.new.and.previous.atteendees.to.save.even.more.time,您可選擇使用與之前活動相似的範本以提高效率、節省時間。快速進行頁面編輯，完成註冊流程設置、定價、贊助商資訊填寫，並邀請往期活動參與者或新的聯繫人參加活動。
easy.event.duplication,輕鬆複製往期活動範本與資訊
glue.up.crm,Glue Up CRM
multi.language.support,多語言支持
event.blueprints,活動範本
opportunities.pipeline,機會漏斗
ready.set.go.that.easy,從活動創建到成功上線，給您從未有過的流暢操作體驗
online.events,線上活動
monetize.enhance.bryour.webinars,助力您提升線上會議與活動的體驗，提升投資回報率
run.webinars.and.other.online.events.from.an.all.in.one.platform.provide.premium.and.seamless.experience.to.attendees.and.marketing.exposure.to.your.sponsors.and.partners,在 Glue Up 一體化雲平臺舉辦線上會議和活動，為參會者提供優質、無縫的體驗，並提升贊助商和合作夥伴的行銷曝光率。
premium.branding.options,高級品牌推廣
sponsor.promotion,贊助商推廣
attendeee.chat,參會者互動聊天
webinar.documents,線上會議與活動資料
learn.more.about.associations.and.glue.up,瞭解更多有關協會與 Glue Up 的資訊
an.all.in.one.solution.that.helps.you.save.time.and.focus.on.your.mission.while.keeping.everybody.on.the.same.page,Glue Up 一體化雲平臺，各模組數據互聯並即時更新，幫助您節省工作時間，提升您團隊的協作與管理效率。
enable.your.community.to.engage.span.classlineins.anywhere.insspan,<span class="line"><ins>隨時隨地</ins></span>賦能社群，提升互動。
give.your.attendees.and.members.an.easy.way.to.engage.network.and.receive.important.information.no.matter.where.they.are,無論您的會員身在何處，都可隨時隨地參與社群線上互動社交，接收重要通知與推送提醒。
all.in.one.mobile.app,一體化移動端 App
user.friendly.mobile.app.for.your.communities.that.comes.with.every.glue.up.solution,Glue Up 所有解決方案均實現 PC 端與移動端 App 頁面的自動適配，可讓您的社群會員隨時隨地便捷使用。
do.it.all.from.one.place,一體化雲平臺，滿足您的全部需求
a.single.mobile.app.that.has.everything.your.community.needs.for.maximum.engagement,最大化促進社群互動，滿足社群發展需求，只需使用 Glue Up 移動端 App。
premium.user.experience.battle.tested.for.your.attendees.and.members.absolute.comfort,Glue Up 雲平臺優質且流暢的用戶體驗，受到了全球眾多客戶的高度認可，不僅為您提供便捷的操作，更幫助您為您的目標受眾帶去不一樣的體驗。
activate.engagement,啟動互動功能
give.your.community.a.digital.place.where.they.can.share.their.ideas.and.stay.social.even.when.meeting.in.person.is.not.possible,為您的社群提供一個即使無法線下碰面，也能 365 天與您的組織進行互動的線上雲平臺。
keep.your.attendees.up.to.date.at.all.times.during.your.physical.and.virtual.events.and.give.them.means.to.build.relationships.and.stay.connected.from.anywhere,不論是線上活動，還是線下活動，您的參會者都能即時查看最新資訊，接收通知提醒，並通過 Glue Up 移動端 App 與您及其他參會者隨時隨地高效互動。
session.documentsbr.presentations,會議檔 & 演講資料
speaker.bios.and.maps,演講嘉賓資料與活動地圖
live.event.walls,動態活動交流牆
seamless.brqr.code.check.ins,二維碼流暢簽到
providebr.extra.value.to.members,為您的會員提供更多價值
