en,es_la,Pt_br,ru,tk,zh_tw,zh
,"Planea, promociona, ejecuta y evalúa todos tus proyectos desde una sola plataforma.","Planeje, organize, execute e avalie todos os seus projetos a partir de uma plataforma.","Планируйте, организуйте, выполняйте и анализируйте все свои проекты на одной платформе.","Tüm projelerinizi tek bir platformdan planlayın, düzenleyin, yürütün ve değerlendirin.",,助力您所有活动的策划、推广、落地、管理、跟进、评估等工作。
,Glue Up,Glue Up,Glue Up,Glue Up,,Glue Up
,Colabora Efectivamente,Colabore de forma eficaz,Эффективно сотрудничать, Etkili Bir Şekilde İşbirliği Yapın,,高效协作
,Administra tus proyectos y equipos de comienzo a fin. Alcanza tus objetivos desde la idea hasta lograr tus objetivos.,Gerencie seus projetos e suas equipes do início ao fim. Realize o que você deseja desde uma ideia até uma conclusão bem-sucedida.,Управляйте проектами вашей команды от начала до конца. Всегда доводите начатое до конца – от идеи до успешного завершения., Projelerinizi ve ekiplerinizi baştan sona yönetin. Bir fikirden başarılı bir şekilde tamamlanana kadar her şeyi yapın.,,全程高效管理您的各业务模块与团队协作，从最初的方案构想到最终的成功落地，全方位助力您实现智能化云端管理变革。
,Pasa Menos Tiempo Planeando,Gaste Menos Tempo Planejando,Тратьте Меньше Времени На Планирование,Planlamaya Daha Az Zaman Harcayın,,助力高效活动运营
,Colabora entre equipos en múltiples proyectos a la vez y centraliza todas tus tareas en un tablero que puedes accesar fácilmente.,Colabore entre equipes em vários projetos ao mesmo tempo e centralize todas as suas tarefas em um único painel de controle para um acesso simplificado.,Совместная работа нескольких команд над несколькими проектами одновременно и централизация всех ваших задач на одной информационной панели для быстрого доступа.,Tek seferde birden fazla projede ekipler arasında işbirliği yapın ve tüm görevlerinizi kolay erişim için tek bir gösterge panosunda merkezileştirin.,,您可以跨团队进行多个项目的协作，且所有工作任务均可在统一的控制面板中进行查看和监管。
,Listas de Tareas,Listas de Tarefas,Списки задач,Görev Listesi,,任务列表
,Tableros Kanban,Quadros Kanban,Канбан-доски, Kanban Panoları,,看板
,Trabajo en Equipo,Trabalho em Equipe,Командная работа,Ekip Çalışması,,团队协作
,Mantén a tu equipo enfocado,Mantenha Sua Equipe Focada,Удерживайте внимание своей команды,Takımınızı Odaklı Tutun,,全方位推动团队工作进度
,Concéntrate en tus proyectos y automatiza las tareas rutinarias manuales que podrían estar ralentizando tu progreso.,Concentre-se em seus projetos e automatize tarefas manuais de rotina que podem estar retardando seu progresso.,"Сосредоточьтесь на своих проектах и автоматизируйте рутинные задачи, которые замедляют ваш прогресс.",Projelerinize odaklanın ve ilerlemenizi yavaşlatabilecek manuel rutin görevleri otomatikleştirin.,,Glue Up 帮助您将重复繁杂的手动工作全面实现线上自动化处理，省时高效。
,Automatización del Flujo de Trabajo,Automação de Fluxo de Trabalho,Автоматизация рабочего процесса,İş Akışı Otomasyonu,,自动化工作流
,Calendario,Calendário,Календарь,Takvim,,活动日程
,"	@Mentioning","	@Mencionando","	@Упоминание","	@Mentioning",,"	@其他人"
,Visualizaciones,Visualizações,Визуализации,Görselleştirmeler,,清晰的视觉呈现
,Administration de eventos ,Gerenciamento de Eventos,Управление мероприятиями,Etkinlik Yönetimi,,活动管理
,Simplifica la Planeación de los Eventos,Simplifique o Planejamento de Eventos,Упростите планирование мероприятий, Etkinlik Planlamayı Basitleştirin,,简化活动运营与管理，提升效率
,Optimiza el ciclo de tus eventos presenciales o digitales desde la planeación inicial hasta las encuestas de seguimiento.,"Otimize o ciclo de vida de seus eventos offline e online, desde o planejamento inicial até o acompanhamento e pesquisas.","Оптимизируйте весь цикл ваших оффлайн и онлайн мероприятий, от планирования мероприятий до создания опросов.", Çevrimdışı ve çevrimiçi etkinliklerinizin yaşam döngüsünü ilk planlamadan takibe ve anketlere kadar optimize edin.,,从最初的活动策划到活动后的调查问卷，Glue Up 一体化云平台帮助您优化线上、线下活动的生命周期。
,Calendario de evento,Calendário de Eventos,Календарь мероприятия,Etkinlik Takvimi,,活动日程
,Paginas de evento ,Páginas de Eventos,Страницы мероприятия,Etkinlik Sayfaları,,活动页面
,Campañas de correo electrónico,Campanhas por Email,Email кампании,E-posta Kampanyaları,,营销邮件
,Tickets & Pagos,Ingressos e Pagamentos,Билеты и платежи,Biletleme ve Ödemeler,,票务 & 支付管理
,Analítica,Análises,Аналитика,Analizler,,数据分析
,Toma decisiones inteligentes,Tome Decisões Inteligentes,Принимайте разумные решения,Akıllı Kararlar Verin,,做出更明智的决策
,"Manténte actualizado automáticamente sobre todos tus proyectos con seguimiento, análisis e informes.","Mantenha-se atualizado sobre todos os seus projetos com acompanhamento automatizado, análises e relatórios.","Будьте в курсе всех своих проектов с помощью автоматического отслеживания, аналитики и отчетов.","Otomatik izleme, analitik ve raporlarla tüm projelerinizde güncel kalın.",,自动化数据追踪、分析与反馈报告，实时掌握各模块最新动态进展。
,Informes en tiempo real ,Insights em Tempo Real,Статистика в реальном времени,Gerçek Zamanlı Analizler,,实时数据洞察
,Roles y permisos,Funções e Permissões,Роли и разрешения,Roller ve İzinler,,角色 & 权限
,Reportes de Gastos e Ingresos,Relatórios P&L,Отчеты о Прибыли & Убытках,Kâr ve Zarar Raporları,,损益报告
,"No sólo administres<br> tus miembros. <br><span class=""line""><ins> Interactua</ins></span> con ellos.","Não apenas gerencie<br> seus membros. <br><span class=""line""><ins> Envolva-os.</ins> </span>","Не просто управляйте <br> членами организации. <br><span class=""line""><ins> Взаимодействуйте</ins></span> с ними."," Sadece üyelerinizi yönetmeyin <br>. <br> <span class = ""line""> <ins> Etkileşime geçin </ins> </span>.",,"不仅帮助您管理会员，<br> 更助力您实现会员互动， <span class=""line""><ins> 变革关系管理</ins></span> "
"Increase productivity and simplify your operations with the software that helps you build, manage, engage and understand your community.","Aumenta tu productividad y simplifica tus operaciones con nuestro software que te ayudará a crecer, administrar y captar la atención de tu comunidad, mientras recibes datos clave sobre cada miembro de tu comunidad","Aumente a produtividade e simplifique suas operações com um software que ajuda você a construir, gerenciar e engajar sua comunidade e fornece para você insights profundos sobre cada membro de sua comunidade.","Повышайте производительность и упрощайте свои операции с помощью программного обеспечения, которое помогает вам создавать, управлять и взаимодействовать с вашим сообществом, а также дает вам полное представление о каждом члене вашего сообщества."," Topluluğunuzu oluşturmanıza, yönetmenize ve etkileşim kurmanıza yardımcı olan ve topluluğunuzun her üyesi hakkında size derinlemesine bilgi sağlayan yazılımla üretkenliği artırın ve operasyonlarınızı basitleştirin.",,Glue Up 可帮助您实现社群的构建、管理与互动，同时提升工作效率，简化运营流程，让您深度了解每一位社群会员。
Get to Truly Know Every Member of Your Community,Conoce verdaderamente a cada miembro de tu comunidad,Conheça verdadeiramente cada membro da sua comunidade,Познакомьтесь по-настоящему с каждым членом вашего сообщества,Topluluğunuzun her üyesini gerçekten tanıyın,,深度掌握每一位社群会员的用户画像
,El único sistema de membresías que te ayuda tanto a mantener a tus miembros contentos como a generar nuevos ingresos.,O único software de associações que ajuda você a manter seus membros felizes e a gerar novos fluxos de receita.,"Единственное программное обеспечение для управления членствами, которое не только помогает членам организации оставаться довольными, но и генерировать новые источники дохода.",Hem üyelerinizi mutlu etmenize hem de yeni gelir akışları yaratmanıza yardımcı olan tek üyelik yazılımı.,,专为会员型组织打造的一体化云端管理解决方案，在增加会员互动、变革关系管理的同时，让您的组织获取更多收益。
,Flujo de trabajo de membresías,Fluxos de Trabalho de Associações,Этапы работы с членствами,Üyelik İş Akışları,,会员管理工作流
,Automatiza procesos manuales,Automatizar processos manuais,"Автоматизируйте Процессы, Выполняемые Вручную",Manuel Süreçleri Otomatikleştirin,,无需人工操作，全面实现工作流程自动化
,"Automatiza tus procesos de administración de membresía desde nuevas aplicaciones y eventos, hasta renovaciones para maximizar la retención y brindar a tus miembros la experiencia premium que se merecen.","Automatize seus processos de gerenciamento de associação, desde novos aplicativos, passando por eventos, até renovações para maximizar a retenção e cativar seus membros com a experiência premium que eles merecem.","Автоматизируйте свои процессы управления членством от новых заявок, через мероприятия до продлений, чтобы удержать клиентов и максимизировать выгоду для членов организации предоставляя им премиальный опыт, которого они заслуживают."," Üyeliğinizi en üst düzeye çıkarmak ve üyelerinizi hak ettikleri birinci sınıf bir deneyimle şımartmak için yeni uygulamalardan etkinliklere, yenilemelere kadar üyelik yönetimi süreçlerinizi otomatikleştirin.",,从新会员申请，到会员活动互动，再到会员续费提醒等，Glue Up 一体化云平台让您的会员管理全面实现线上自动化，为您的会员打造优质活动体验，提升会员留存率。
,Recordatorios automáticos,Lembretes automáticos,Автоматические напоминания,Otomatik Hatırlatıcılar,,自动化发送提醒
,Pagos recurrentes,Pagamentos Recorrentes,Регулярные платежи,Yinelenen ödemeler,,周期性付款
,Aplicaciones Digitales,Aplicações Digitais,Электронные заявки,Dijital Uygulamalar,,线上申请
,Flujos de trabajo personalizables,Fluxos de Trabalho Personalizáveis,Настраиваемые рабочие процессы,Özelleştirilebilir İş Akışları,,自定义工作流
,Director de miembros,Diretório de Membros,Каталог членов,Üye Dizini,,会员名录
Enable Your Community To Thrive,Permite que tu comunidad prospere ,Permita que sua comunidade prospere,Предоставьте вашему сообществу возможность процветать,Topluluğunuzun Gelişmesini Sağlayın,,让您的社群蓬勃发展
,Digitaliza tu directorio de membresía y brinda a tu comunidad acceso instantáneo a perfiles e información de miembros. Todos los miembros pueden buscar en el directorio a través de la plataforma web o aplicaciones móviles.,Digitalize seu diretório de membros e forneça à sua comunidade acesso instantâneo aos perfis e informações dos membros. Todos os membros podem pesquisar o diretório por meio da plataforma web ou de aplicativos móveis.,Оцифруйте свой каталог членов и предоставьте своему сообществу мгновенный доступ к профилям других членов и их информации. Все члены организации могут искать информацию в каталоге через веб-платформу или мобильные приложения.,Üyelik dizininizi dijitalleştirin ve topluluğunuza üye profillerine ve bilgilerine anında erişim sağlayın. Tüm üyeler dizini web platformu veya mobil uygulamalar aracılığıyla arayabilir.,,实现会员名录数字化，为您的社群提供快速便捷的资料信息查询渠道。所有社群会员均可以通过网页端或移动端 App 进行名录查询。
,Anuncios Premium,Listagens Premium,Премиальный листинг,Premium Listeler,,详细会员列表
,Etiquetas & Filtros,Tags e Filtros,Теги и фильтры,Etiketler ve filtreler,,标签 & 筛选
,Roles y permisos personalizados,Funções e Permissões Personalizadas,Персонализированные роли и разрешения,Özel Roller & İzinler,,自定义角色与权限
,Lista de miembros y búsquedas avanzadas,Listas de Membros e Pesquisa Avançada,Списки членов и расширенный поиск,Üye Listeleri ve Gelişmiş Arama,,会员列表 & 高级搜索
,Personaliza tu comunicación,Personalize Sua Comunicação,Персонализируйте свои коммуникации, İletişiminizi Kişiselleştirin,,个性化互动交流
,Mantén la información de tus miembros segura y centralizada en un solo lugar de forma automática. Encuentra y guarda fácilmente información de tus miembros en listas inteligentes y utiliza esos datos en las distintas herramientas de la plataforma.,"Mantenha todas as informações dos membros atualizadas, seguras e centralizadas em um só lugar automaticamente. Pesquise e salve facilmente as informações dos membros em listas para que você possa utilizar os dados em toda a plataforma.","Автоматически сохраняйте всю актуальную информацию о членах организации в безопасности и централизовано. С легкостью находите и сохраняйте информацию о членах в списках, чтобы использовать эти данные по всей платформе."," Tüm üye bilgilerini güncel, güvenli ve otomatik olarak tek bir yerde merkezileştirilmiş tutun. Üye bilgilerini kolayca arayın ve listelere kaydedin, böylece platformdaki verileri kullanabilirsiniz.",,所有会员信息均实现实时更新，安全存储，自动化集中管理。智能列表细分，高级搜索功能，全平台数据互联，让您的数据信息管理更便捷。
,Listas segmentadas automáticamente,Listas segmentadas automaticamente,Автоматическое сегментирование списков,Otomatik Olarak Bölümlenmiş Listeler,,自动化细分列表
,Búsqueda fácil,Pesquisa Fácil,Простой поиск,Kolay Arama,,便捷搜索
,Listas Inteligentes,Listas Inteligentes,Смарт-листы,Akıllı Listeler,智能列表,智能列表
,Historial de interacción,Histórico de Engajamento,История взаимодействия,Etkileşim Geçmişi,,互动历史
,Aplicación de miembros,Inscrição de Membro,Заявка на членство,Üye Başvurusu,,会员申请
,Recluta nuevos miembros sin esfuerzo,Recrute Novos Membros Sem Esforço,Привлекайте Новых Членов Без Особых Усилий,Yeni Üyeleri Zahmetsizce Alın,,助力您轻松获取新会员
,Proporciona formularios de solicitud en línea personalizados y varios tipos de membresía con precios y descuentos personalizados para atraer fácilmente a a futuros miembros a la puerta.,Forneça formulários de inscrição on-line personalizados e vários tipos de associação com preços e descontos personalizados para atrair facilmente membros em potencial.,"Создавайте пользовательские онлайн-формы заявок и несколько типов членства с различной стоимостью и скидками, чтобы с легкостью привлечь новых членов в организацию.",Muhtemel üyeleri kapıya kolayca getirmek için özel çevrimiçi başvuru formları ve özel fiyatlandırma ve indirimlerle çeşitli üyelik türleri sağlayın.,,您可以自定义会员线上申请表格的内容，还可设置多种会员类型与收费标准，自定义优惠折扣，轻松吸引潜在会员。
,Formularios de solicitud personalizados,Formulários de Inscrição Personalizados,Настраиваемые формы заявок,Özel Başvuru Formları,,自定义申请表单
,Tipos de Membresías Ilimitadas,Tipos de Associações Ilimitadas,Неограниченное Количество Типов Членства, Sınırsız Üyelik Tipleri,,会员类型设置无限制
,Descuentos y cupones ,Descontos & Cupons,Скидки и купоны,İndirimler ve Kuponlar,,折扣 & 优惠券
,Facturas y recibos automatizados,Faturas e recebimentos automatizados,Автоматизированные счета и квитанции,Otomatik Faturalar ve Makbuzlar,,自动化开具发票与收据
,Administración de Comité ,Gestão do Comitê,Управление комитетами, Komite Yönetimi,,委员会管理
,"Ejecuta Tus Operaciones desde <span class=""line""><ins> Cualquier Lugar </ins></span>","Execute suas operações de <span class=""line""><ins>Qualquer Lugar</ins></span>","Управляйте бизнесом <span class=""line""><ins> из любой точки мира </ins></span>","İşlemlerinizi <span class = ""line""> <ins> Her Yerden </ins> </span> Çalıştırın",,"<span class=""line""><ins> 随时随地</ins></span>管理您的运营工作"
,Optimiza procesos y administra tu comunidad desde la palma de tu mano con la aplicación móvil que consolida todas tus operaciones e interacciones.,Simplifique processos e gerencie sua comunidade na palma da sua mão com um aplicativo móvel que consolida todas as suas operações e engajamento.,"Оптимизируйте процессы и управляйте своим сообществом с помощью мобильного приложения, которое объединяет все ваши процессы и взаимодействия.", Tüm işlemlerinizi ve katılımınızı birleştiren bir mobil uygulama ile süreçleri kolaylaştırın ve topluluğunuzu avucunuzun içinden yönetin.,,Glue Up 云平台移动端 App，让您可以随时随地高效管理您的社群运营及互动。
,Aplicación Glue Up Manager ,Aplicativo de Gerenciamento Glue Up,Glue Up для организаторов,Glue Up Yönetici Uygulaması,,Glue Up 管理者 App
,La Aplicación de todos los días para Gerentes Exitosos,O Aplicativo Diário Para Gerentes de Sucesso,Ежедневное приложение для успешных менеджеров,Başarılı Yöneticiler için Günlük Uygulama,,优秀经理人必备的每日 App
,"Administra los registros a eventos, aplicaciones de miembros y renovaciones de membresías. Recibe pagos y facilita el registro de tus asistentes para asegurar el éxito de tu evento mediante nuestra app que contiene todas la herramientas de Glue Up.","Gerencie registros, inscrições e renovações de membros, receba pagamentos e facilite check-ins para realizar eventos de sucesso com um aplicativo que vem com cada solução Glue Up.","183/5000 Управляйте регистрациями, подписками и продлением членства, собирайте платежи и упрощайте регистрацию для успешных мероприятий с помощью приложения, которое поставляется с каждым решением Glue Up.","Kayıtları, üye kayıtlarını ve yenilemeleri yönetin, ödemeleri toplayın ve her Glue Up çözümüyle birlikte gelen bir uygulama ile başarılı etkinlikleri gerçekleştirmek için sorunsuz girişleri kolaylaştırın.",,Glue Up 一体化云平台，各模块已实现电脑端与移动端数据互联，自动适配，助力您实现活动注册管理、会员注册与续费管理、支付管理、流畅活动签到等，全面协助您每一场活动的完美收官。
Do it All from One App,Hazlo todo desde una aplicación,Faça tudo em um único aplicativo,Делайте все с помощью одного приложения,Hepsini tek bir uygulamadan yapın,,一体化云平台，满足您的全部需求
,Increíble aplicación para móvil que tiene todo lo que necesitas para administrar tu comunidad desde donde sea.,O aplicativo móvel definitivo que tem tudo que você precisa para gerenciar sua comunidade onde quer que você vá.,"Уникальное мобильное приложение, в котором есть все необходимое для управления вашим сообществом, куда бы вы ни отправились.",Topluluğunuzu gittiğiniz her yerde yönetmek için ihtiyacınız olan her şeye sahip nihai mobil uygulama.,,不论您身在何处，您都可以使用 Glue Up 一体化云平台移动端 App，随时随地、高效管理您的社群组织。
Simplify Operations,Operaciones simplificadas,Operações simplificadas,Упрощенные операции, İşlemler basitleştirildi,,简化运营管理流程
,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto (nuestro CEO usa nuestra aplicación móvil de administrar diariamente también).",Experiência de usuário premium testada em operação para seu conforto absoluto (nosso CEO também usa o aplicativo Manager diariamente).,"Премиальный пользовательский опыт, опробованный на нас самих, для вашего абсолютного комфорта (наш генеральный директор также ежедневно использует приложение Manager).","Üstün kullanıcı deneyimi, mutlak rahatınız için savaşta test edilmiştir (CEO'muz da her gün Yönetici Uygulamasını kullanır).",,Glue Up 云平台优质且流畅的用户体验，受到了全球众多客户的高度认可，不仅为您提供便捷的操作，更帮助您为您的目标受众带去不一样的体验。
,"Obtén información inmediata sobre las actividades de tu comunidad a partir de eventos, correos electrónicos, finanzas y más en tiempo real.","Obtenha informações imediatas sobre as atividades da sua comunidade em eventos, e-mails, finanças e muito mais em tempo real.q","Получите немедленную информацию о действиях вашего сообщества из мероприятий, электронной почты, финансовых отчётов и многого другого в режиме реального времени.","Etkinlikler, e-postalar, finans ve daha pek çok şeyden gerçek zamanlı olarak topluluğunuzun faaliyetleri hakkında anında bilgi edinin.",,实时掌握社群动态，获取社群最新的活动、营销邮件、财务相关信息与数据分析。
,Eventos,Eventos,Мероприятия,Etkinlikler,,活动管理
,Maximiza la experiencia de tus participantes,Maximize a Experiência do Participante,Максимиризуйте опыт от участия в мероприятии,Katılımcı Deneyimini En Üst Düzeye Çıkarın,,参会者体验最优化
